iter	Passed	Remaining
0	1	123
1	2	115
2	3	110
3	4	103
4	5	102
5	6	100
6	7	99
7	8	98
8	9	97
9	10	96
10	11	95
11	12	94
12	13	93
13	15	92
14	16	91
15	17	91
16	18	90
17	19	88
18	20	87
19	21	86
20	22	85
21	24	85
22	25	85
23	26	84
24	27	83
25	29	82
26	30	81
27	31	80
28	32	79
29	33	79
30	34	77
31	36	76
32	37	75
33	38	74
34	39	73
35	40	72
36	41	71
37	42	69
38	43	68
39	44	67
40	45	66
41	46	64
42	47	62
43	48	61
44	49	60
45	50	59
46	51	58
47	52	57
48	53	56
49	55	55
50	56	53
51	57	52
52	58	51
53	59	50
54	59	49
55	60	47
56	62	46
57	63	45
58	64	44
59	65	43
60	66	42
61	67	41
62	69	40
63	70	39
64	71	38
65	72	37
66	73	36
67	74	35
68	75	34
69	76	32
70	78	31
71	79	30
72	80	29
73	81	28
74	82	27
75	83	26
76	84	25
77	85	24
78	86	23
79	87	21
80	89	20
81	90	19
82	91	18
83	92	17
84	93	16
85	94	15
86	95	14
87	96	13
88	98	12
89	99	11
90	100	9
91	101	8
92	102	7
93	103	6
94	104	5
95	105	4
96	106	3
97	107	2
98	109	1
99	110	0
